epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3599.21,0.91195,0.87198,1.16184,0.66949,0.63282,0.64534,0.35361,1.50596,1.56188,1.61742,0.000742625,0.000742625,0.000742625
43,3703.37,0.89089,0.8899,1.16295,0.53721,0.67652,0.64082,0.3232,1.58266,1.53002,1.68893,0.00073025,0.00073025,0.00073025
44,3802.77,0.87056,0.86581,1.13466,0.49498,0.65077,0.55872,0.33505,1.63663,1.45188,1.85563,0.000717875,0.000717875,0.000717875
45,3901.26,0.85773,0.80546,1.12019,0.57529,0.65401,0.62471,0.3646,1.56953,1.26268,1.75845,0.0007055,0.0007055,0.0007055
46,3991.99,0.83454,0.79749,1.11853,0.61786,0.50085,0.59722,0.34566,1.57395,1.32961,1.7714,0.000693125,0.000693125,0.000693125
47,4078.26,0.85267,0.83451,1.15202,0.60409,0.59167,0.57526,0.2815,1.69672,1.77035,1.97295,0.00068075,0.00068075,0.00068075
48,4169.61,0.8555,0.82965,1.12288,0.66794,0.60234,0.59598,0.30961,1.68211,1.65367,1.97877,0.000668375,0.000668375,0.000668375
49,4257.92,0.87015,0.80163,1.15511,0.62492,0.57269,0.61161,0.32134,1.66503,1.31378,1.88226,0.000656,0.000656,0.000656
50,4349.76,0.89298,0.78884,1.14289,0.61848,0.55036,0.60614,0.34448,1.55638,1.30328,1.77511,0.000643625,0.000643625,0.000643625
51,4437.2,0.86036,0.80169,1.14866,0.70246,0.66574,0.73627,0.374,1.50977,1.33756,1.75228,0.00063125,0.00063125,0.00063125
52,4528.29,0.83333,0.78838,1.11646,0.87285,0.60688,0.73362,0.36323,1.48079,1.31307,1.73959,0.000618875,0.000618875,0.000618875
53,4614.35,0.80558,0.74006,1.09742,0.54576,0.54174,0.5921,0.35481,1.43001,1.3374,1.67298,0.0006065,0.0006065,0.0006065
54,4699.33,0.78343,0.72644,1.09908,0.71284,0.44365,0.56105,0.32678,1.49232,1.46842,1.73155,0.000594125,0.000594125,0.000594125
55,4782.99,0.79798,0.75111,1.117,0.41884,0.51212,0.50617,0.28054,1.57067,1.7257,1.81393,0.00058175,0.00058175,0.00058175
56,4865.28,0.78065,0.72636,1.0962,0.62788,0.55033,0.55331,0.3012,1.56905,1.7167,1.78841,0.000569375,0.000569375,0.000569375
57,4946.44,0.75724,0.68848,1.07548,0.55956,0.40727,0.49175,0.30743,1.47173,1.62805,1.73566,0.000557,0.000557,0.000557
58,5028.61,0.78268,0.70533,1.08548,0.53065,0.45852,0.51401,0.31941,1.55038,1.61516,1.81279,0.000544625,0.000544625,0.000544625
59,5109.93,0.74393,0.69357,1.08334,0.48266,0.44321,0.49712,0.28504,1.63709,1.7179,1.80793,0.00053225,0.00053225,0.00053225
60,5191.05,0.72588,0.67574,1.05448,0.77122,0.47879,0.5367,0.30945,1.51837,1.74756,1.72452,0.000519875,0.000519875,0.000519875
61,5272.43,0.7752,0.69162,1.06606,0.6346,0.62652,0.6757,0.34283,1.46736,1.59864,1.68397,0.0005075,0.0005075,0.0005075
62,5353.76,0.74866,0.67763,1.0772,0.75011,0.56562,0.60862,0.36261,1.47617,1.42533,1.67517,0.000495125,0.000495125,0.000495125
63,5436.34,0.71627,0.64949,1.03265,0.89047,0.56593,0.72332,0.40098,1.41889,1.29132,1.65943,0.00048275,0.00048275,0.00048275
64,5523.18,0.76009,0.69437,1.09544,0.66664,0.54626,0.63512,0.39509,1.46213,1.23429,1.67553,0.000470375,0.000470375,0.000470375
65,5605.11,0.73856,0.6705,1.07224,0.66266,0.56515,0.63477,0.40212,1.42221,1.26552,1.61069,0.000458,0.000458,0.000458
66,5687.03,0.70483,0.63902,1.04129,0.61428,0.59567,0.62946,0.38782,1.44824,1.22149,1.65818,0.000445625,0.000445625,0.000445625
67,5769.2,0.74763,0.66952,1.07739,0.78791,0.64473,0.74377,0.39051,1.42944,1.16684,1.64696,0.00043325,0.00043325,0.00043325
68,5852.65,0.71881,0.66192,1.07083,0.75712,0.67652,0.75521,0.39767,1.38079,1.10075,1.62137,0.000420875,0.000420875,0.000420875
69,5940.49,0.7107,0.63883,1.0462,0.67314,0.61276,0.65289,0.38208,1.3282,1.06022,1.58295,0.0004085,0.0004085,0.0004085
70,6024.45,0.66391,0.62095,1.02716,0.60816,0.66292,0.6589,0.42186,1.33161,1.13642,1.5675,0.000396125,0.000396125,0.000396125
71,6108.4,0.67602,0.62192,1.04635,0.64384,0.70879,0.66052,0.4145,1.31971,1.21207,1.5521,0.00038375,0.00038375,0.00038375
72,6489.61,0.67148,0.62271,1.04328,0.67809,0.81096,0.67917,0.408,1.33668,1.36124,1.58077,0.000371375,0.000371375,0.000371375
73,7511.2,0.68039,0.63211,1.03962,0.64953,0.61358,0.60946,0.37668,1.4006,1.42447,1.63654,0.000359,0.000359,0.000359
74,8538.54,0.67713,0.61679,1.03221,0.60609,0.60871,0.59685,0.35347,1.48775,1.39559,1.7514,0.000346625,0.000346625,0.000346625
75,9584.32,0.64435,0.58735,1.01714,0.67602,0.52835,0.6854,0.37723,1.4307,1.21918,1.74623,0.00033425,0.00033425,0.00033425
76,10601.3,0.65526,0.59291,1.01174,0.55042,0.69304,0.65728,0.36908,1.43584,1.23236,1.7515,0.000321875,0.000321875,0.000321875
77,10678.7,0.66517,0.5849,1.03178,0.64075,0.65903,0.64444,0.35278,1.45603,1.31173,1.7593,0.0003095,0.0003095,0.0003095
78,11733.5,0.6394,0.56124,1.00566,0.63583,0.67125,0.61644,0.33811,1.45412,1.41245,1.78448,0.000297125,0.000297125,0.000297125
79,11808.4,0.64215,0.58929,1.00732,0.62966,0.5,0.53707,0.31365,1.47174,1.42231,1.78451,0.00028475,0.00028475,0.00028475
80,12009.3,0.64449,0.59173,1.00404,0.61386,0.50606,0.53399,0.31173,1.45542,1.35081,1.76759,0.000272375,0.000272375,0.000272375
81,12082.9,0.64469,0.58847,1.01633,0.61972,0.47226,0.55279,0.3335,1.47279,1.32263,1.77164,0.00026,0.00026,0.00026
82,12158.7,0.65113,0.56541,1.00359,0.66441,0.51212,0.5712,0.34635,1.44849,1.30881,1.7615,0.000247625,0.000247625,0.000247625
83,12234.5,0.62362,0.56512,1.00616,0.71348,0.52129,0.60146,0.36673,1.47116,1.27671,1.79089,0.00023525,0.00023525,0.00023525
84,12310.6,0.65816,0.56251,1.01935,0.72251,0.50958,0.59596,0.36116,1.48316,1.24554,1.78524,0.000222875,0.000222875,0.000222875
85,12388.2,0.62733,0.54998,1.01775,0.6277,0.68579,0.62826,0.37426,1.50603,1.18684,1.78269,0.0002105,0.0002105,0.0002105
86,12465.4,0.6222,0.53126,1.01529,0.66729,0.68679,0.62883,0.35266,1.52119,1.23908,1.79612,0.000198125,0.000198125,0.000198125
87,12543.1,0.6289,0.5583,1.01146,0.59,0.68318,0.60598,0.34986,1.52759,1.28875,1.82387,0.00018575,0.00018575,0.00018575
88,12622.4,0.61052,0.53858,1.00419,0.62829,0.66681,0.6045,0.34789,1.51812,1.35154,1.82496,0.000173375,0.000173375,0.000173375
89,13605.6,0.59778,0.52993,0.99539,0.66343,0.65985,0.60446,0.34427,1.50421,1.33603,1.81803,0.000161,0.000161,0.000161
90,13677.8,0.58203,0.53975,0.9755,0.69178,0.65511,0.60692,0.35968,1.48595,1.27978,1.79171,0.000148625,0.000148625,0.000148625
91,13752,0.53366,0.538,0.94255,0.68616,0.65601,0.61037,0.35197,1.4963,1.27675,1.78058,0.00013625,0.00013625,0.00013625
92,13826.9,0.46532,0.47544,0.91004,0.68225,0.66689,0.60905,0.35294,1.5038,1.26471,1.76836,0.000123875,0.000123875,0.000123875
93,13902.9,0.46853,0.47015,0.91817,0.68798,0.67604,0.62292,0.35876,1.47331,1.27664,1.75037,0.0001115,0.0001115,0.0001115
94,13979.4,0.46668,0.47764,0.92146,0.643,0.67259,0.6339,0.37538,1.44242,1.24135,1.73392,9.9125e-05,9.9125e-05,9.9125e-05
95,14056.2,0.47562,0.47425,0.92283,0.62319,0.69924,0.63554,0.36865,1.43417,1.22216,1.73949,8.675e-05,8.675e-05,8.675e-05
96,14133.6,0.43619,0.43349,0.89444,0.67762,0.69924,0.63453,0.37319,1.43453,1.19222,1.73621,7.4375e-05,7.4375e-05,7.4375e-05
97,14210.7,0.43649,0.4391,0.88543,0.708,0.69924,0.63541,0.37523,1.43622,1.1716,1.73454,6.2e-05,6.2e-05,6.2e-05
98,14288.3,0.42491,0.41836,0.88196,0.72148,0.69924,0.63693,0.37852,1.43752,1.16069,1.73592,4.9625e-05,4.9625e-05,4.9625e-05
99,15305.5,0.42531,0.42148,0.89276,0.73538,0.69924,0.63283,0.37701,1.43604,1.14769,1.73592,3.725e-05,3.725e-05,3.725e-05
100,16305.4,0.42361,0.43614,0.88682,0.74671,0.69002,0.63471,0.38228,1.43995,1.15214,1.73939,2.4875e-05,2.4875e-05,2.4875e-05
